E_NUC,E_miss,E_rep,axis_finite_difference_max_error,basis_rotation_singular_value_max_error,exact,float64,kind,max_axis_error,max_position_error,min_sigma_min_5,path_length,path_sample_spacing,position_finite_difference_max_error,q_interpolation_step,q_samples,samples,samples_per_face,surface_id,unit_scaling_singular_value_max_error
0.44374974758829444,0.0734229487633966,0.37032679882489783,,,,,coverage_resolution,,,,6.0129347067723975,0.004,,,,,12,saddle,
0.44374974758829444,0.0734229487633966,0.37032679882489783,,,,,coverage_resolution,,,,6.0129347067723975,0.002,,,,,12,saddle,
0.4437807852122131,0.07229114755621865,0.3714896376559944,,,,,coverage_resolution,,,,6.0129347067723975,0.001,,,,,12,saddle,
0.4450467880570082,0.08386169751144285,0.36118509054556536,,,,,coverage_resolution,,,,6.0129347067723975,0.004,,,,,48,saddle,
0.44476383775521366,0.08356718475340269,0.361196653001811,,,,,coverage_resolution,,,,6.0129347067723975,0.002,,,,,48,saddle,
0.4450467880570081,0.08356718475340269,0.3614796033036054,,,,,coverage_resolution,,,,6.0129347067723975,0.001,,,,,48,saddle,
0.42960747827567103,0.07787642395055777,0.35173105432511326,,,,,coverage_resolution,,,,6.0129347067723975,0.004,,,,,96,saddle,
0.4297431469908356,0.07699868728530322,0.35274445970553236,,,,,coverage_resolution,,,,6.0129347067723975,0.002,,,,,96,saddle,
0.42988089091732384,0.07684769968187422,0.35303319123544963,,,,,coverage_resolution,,,,6.0129347067723975,0.001,,,,,96,saddle,
0.552754060520506,0.20943727952401545,0.3433167809964906,,,,,coverage_resolution,,,,10.428527670051029,0.004,,,,,12,hemisphere,
0.5495823755857868,0.20520836627772315,0.34437400930806367,,,,,coverage_resolution,,,,10.428527670051029,0.002,,,,,12,hemisphere,
0.544273164766204,0.19458994463855744,0.3496832201276465,,,,,coverage_resolution,,,,10.428527670051029,0.001,,,,,12,hemisphere,
0.489922257119348,0.19070262594390036,0.29921963117544764,,,,,coverage_resolution,,,,10.428527670051029,0.004,,,,,48,hemisphere,
0.49071517835302775,0.1904383188660071,0.30027685948702065,,,,,coverage_resolution,,,,10.428527670051029,0.002,,,,,48,hemisphere,
0.4897508364903845,0.1885096351407205,0.301241201349664,,,,,coverage_resolution,,,,10.428527670051029,0.001,,,,,48,hemisphere,
0.47643398990970925,0.1643538796309581,0.31208011027875115,,,,,coverage_resolution,,,,10.428527670051029,0.004,,,,,96,hemisphere,
0.4764755365649447,0.1643538796309581,0.3121216569339866,,,,,coverage_resolution,,,,10.428527670051029,0.002,,,,,96,hemisphere,
0.47581880768689533,0.16277773032363962,0.3130410773632557,,,,,coverage_resolution,,,,10.428527670051029,0.001,,,,,96,hemisphere,
,,,,,,,q_resolution,5.16191365590357e-08,0.0,0.707116687377477,,,,0.1,9,,,,
,,,,,,,q_resolution,0.0007492580301905687,0.0005909753995234201,0.707116687377477,,,,0.05,13,,,,
,,,,,,,q_resolution,0.0006663665758883978,0.0005258502826525286,0.707116687377477,,,,0.025,19,,,,
,,,,,,,q_resolution,0.0007492580301905687,0.0005909753995234201,0.707116687377477,,,,0.0125,35,,,,
,,,1.8378021326981298e-10,1.7763568394002505e-15,,,task_metric_consistency,,,,,,1.8117257694072464e-10,,,,,,2.220446049250313e-16
,,,,,True,True,witness_roundtrip,,,,,,,,,7,,,
