C_0.50,C_0.75,C_0.90,C_1.00,L_q_common,L_q_cross_parent,L_q_total,L_q_variable,L_q_within_parent,archive_abs_error,eta_cross,eta_var,overall_pass,placement_id,skeleton_id,surface_id
0.7719313887580111,0.7247954530411682,0.6465014282956998,0.6111952647887913,14.385407502546713,19.179790564314718,23.5365166114594,9.15110910891269,4.3567260471446945,0.0,0.8148950365482932,0.38880473521120884,True,P_easy,S00,saddle
0.8232292360157968,0.6620555063857794,0.6419113809315408,0.5552257989192935,13.190151943890328,18.61298258029576,23.75637437879147,10.566222434901134,5.143391798495709,0.0,0.7834942438401931,0.44477420108070614,True,P_easy,S01,saddle
0.9297811658765167,0.7742338311012286,0.7121620836655036,0.6054615469836967,14.385490434216667,18.810737585343656,23.759544278051443,9.374053843834787,4.948806692707797,0.0,0.7917128950457443,0.3945384530163037,True,P_easy,S02,saddle
0.9702829409319694,0.8088853969774049,0.713931935055688,0.6069661202805713,14.385476740732258,18.935848714095076,23.70062555399722,9.315148813264956,4.764776839902136,3.552713678800501e-15,0.7989598701077938,0.3930338797194285,True,P_easy,S03,saddle
0.923366922387919,0.7642276697530778,0.7142750143552901,0.6072577967953646,14.385488455994896,18.9369401377422,23.68926102210682,9.303772566111936,4.752320884364616,0.0,0.7993892304226058,0.3927422032046359,True,P_easy,S04,saddle
0.8031529390216606,0.7560069203943526,0.6776961476703102,0.6113267453922179,14.385424892653639,19.210524189392054,23.531482960759668,9.146058068106026,4.320958771367609,3.552713678800501e-15,0.8163754159237179,0.38867325460778196,True,P_easy,S05,saddle
0.8140581042746586,0.7114059922485991,0.638439035829901,0.5564651011117069,13.190172766469212,18.058422541388193,23.703504029485163,10.513331263015946,5.645081488096967,0.0,0.761846118570699,0.44353489888829295,True,P_easy,S06,saddle
0.8788557905951074,0.7957166011362694,0.7175684470816408,0.6100575212659851,14.385446708773795,19.145135617651597,23.580475950728815,9.195029241955023,4.435340333077215,0.0,0.8119062421664084,0.389942478734015,True,P_easy,S07,saddle
0.9279357920738839,0.7722520916251319,0.7127864502294229,0.6059923458614584,14.385490461553978,18.829861021419752,23.73873293911666,9.35324247756268,4.908871917696906,0.0,0.793212555603249,0.39400765413854155,True,P_easy,S08,saddle
0.9645514678941252,0.793001285850169,0.7150914007223856,0.6079517494830111,14.385469900595373,19.010999165860003,23.66219015378846,9.276720253193085,4.651190987928458,3.552713678800501e-15,0.8034336231050966,0.3920482505169889,True,P_easy,S09,saddle
0.8897999650629951,0.7954446266986758,0.7173230109973762,0.609848861026101,14.385447174988382,19.149822367558833,23.588544792531305,9.20309761754292,4.438722424972473,0.0,0.8118272040936634,0.39015113897389886,True,P_easy,S10,saddle
0.895590104165772,0.7956813360526569,0.7175364787240318,0.6100303545786643,14.38544859057913,19.17719893894072,23.581529152782686,9.196080562203555,4.4043302138419635,0.0,0.813229660158733,0.3899696454213357,True,P_easy,S11,saddle
0.9999999999999997,0.8097842531734112,0.7147253841505958,0.6076405932165028,14.385473269168505,18.9676459722334,23.674312463260584,9.288839194092088,4.706666491027187,0.0,0.8011909955851384,0.3923594067834976,True,P_easy,S12,saddle
0.8595133068774532,0.8124948562222027,0.7171176171949787,0.6096741697696414,14.385436004242246,19.088239138242642,23.59528534672483,9.209849342482581,4.507046208482188,0.0,0.8089853060790472,0.3903258302303585,True,P_easy,S13,saddle
0.9323212141552478,0.7893619774388516,0.7127571186480577,0.6059673965455157,14.385488500797752,18.83839829864832,23.73970709118378,9.35421859038603,4.901308792535466,3.552713678800501e-15,0.7935396265122554,0.3940326034544844,True,P_easy,S14,saddle
0.9347147942197013,0.8098912695097789,0.7148198975163943,0.6077208534451692,14.385458650007605,18.929056250156247,23.67116179814539,9.285703148137777,4.742105547989144,0.0,0.7996673932430016,0.39227914655483037,True,P_easy,S15,saddle
0.9125521360331522,0.7658880115427134,0.7158266589243095,0.6085768742390086,14.385474275012017,19.043720710051236,23.637891750323654,9.252417475311637,4.5941710402724185,0.0,0.8056437905377279,0.3914231257609914,True,P_easy,S16,saddle
0.9331364673408691,0.8093137652470613,0.7143101637241974,0.6072875615491002,14.385469750207829,18.89055959755389,23.688069147197144,9.302599396989315,4.797509549643248,3.552713678800501e-15,0.79747148153648,0.3927124384508997,True,P_easy,S17,saddle
0.9652308745962906,0.8105983959322379,0.7154438185582092,0.6082513209613993,14.38546282533913,19.00083198888257,23.65052459335646,9.265061768017329,4.649692604473884,0.0,0.8034000224341742,0.39174867903860056,True,P_easy,S18,saddle
0.8914610231459009,0.8120632682907513,0.7167367180315968,0.6093503720283879,14.385441127429965,19.065331413251624,23.607831861239575,9.222390733809618,4.542500447987949,3.552713678800501e-15,0.8075850220093257,0.3906496279716124,True,P_easy,S19,saddle
0.7185567294352457,0.6656102999864213,0.5739981205756427,0.5353932576635558,12.76600226874763,18.474053928548265,23.84415957058962,11.078157301841994,5.370105642041357,0.0,0.7747831863755404,0.4646067423364443,True,P_mid,S00,saddle
0.8174935417531108,0.6516656390056081,0.6344910964526238,0.5386453307038339,12.766022177689338,18.487095089633577,23.700237336149016,10.934215158459674,5.213142246515427,3.552713678800501e-15,0.7800383948660277,0.4613546692961659,True,P_mid,S01,saddle
0.9271781298981718,0.7441276169265443,0.6732701767548706,0.5385978844152337,12.766036988032099,18.1959503045714,23.702352640861996,10.936315652829897,5.506402336290603,0.0,0.7676854099791868,0.4614021155847663,True,P_mid,S02,saddle
0.9640211769935043,0.7815498801388399,0.6723649551667713,0.5378735567669659,12.766068763582737,18.41196796230254,23.734330500120954,10.96826173653822,5.32236253781842,0.0,0.7757525733539739,0.4621264432330343,True,P_mid,S03,saddle
0.9119496208407742,0.7274008569016278,0.671868748559228,0.5374763719199032,12.76605950938092,18.683431658032134,23.751852502426594,10.985792993045672,5.068420844394457,0.0,0.786609451036434,0.4625236280800967,True,P_mid,S04,saddle
0.7533049844071251,0.7003696991781388,0.608776802394684,0.5352824098929961,12.766046207573979,18.632702153028884,23.849179370803412,11.08313316322943,5.21647721777453,0.0,0.7812722552558503,0.46471759010700375,True,P_mid,S05,saddle
0.8221984265757383,0.7083310843671254,0.637378657357688,0.5393164437242145,12.765992354949997,17.778796151834296,23.670690006770926,10.904697651820927,5.891893854936632,0.0,0.7510890534559291,0.4606835562757855,True,P_mid,S06,saddle
0.8489938251155164,0.7620725086610766,0.670316677803002,0.5362345355131884,12.76603298853087,18.54246901862493,23.806808668735766,11.040775680204892,5.2643396501108315,0.0,0.7788725182210493,0.46376546448681144,True,P_mid,S07,saddle
0.9302619654224195,0.7473114952626987,0.6729030280847212,0.5383037844872955,12.7660431683992,18.30266833179881,23.715313799174098,10.949270630774896,5.4126454673752935,0.0,0.7717658086580416,0.46169621551270434,True,P_mid,S08,saddle
0.9659496500417525,0.763517460955643,0.6717707356945101,0.5373978678139982,12.766048045302515,18.489049993137577,23.755300885788113,10.989252840485602,5.266250892650543,0.0,0.7783125998710826,0.46260213218600194,True,P_mid,S09,saddle
0.8729521826771712,0.7626260212456853,0.670804088937905,0.5366247629588019,12.766070120348852,18.66689514452174,23.78956582241982,11.023495702070973,5.122670677898089,0.0,0.7846673320506605,0.46337523704119826,True,P_mid,S10,saddle
0.8667628801756716,0.7618895501175086,0.6701563847135185,0.5361067737493418,12.76608872722359,18.79413522564683,23.812586134553133,11.046497407329545,5.018450908906317,0.0,0.7892521677171257,0.46389322625065826,True,P_mid,S11,saddle
1.0000000000000004,0.7812914148086604,0.6721422446132879,0.5376950390678538,12.766045015268881,18.37369287118992,23.742166261009313,10.97612124574043,5.368473389819412,0.0,0.7738844328356088,0.4623049609321462,True,P_mid,S12,saddle
0.8327711352140449,0.7797052194659985,0.6707768929248893,0.5366026704002634,12.766030098582448,18.363873251034875,23.79047068301019,11.024440584427744,5.426597431975322,3.552713678800501e-15,0.7719003753948136,0.46339732959973656,True,P_mid,S13,saddle
0.930539835733756,0.7647934965946996,0.6730007612509634,0.5383821405495764,12.766063585819872,18.31906748331774,23.711900199342367,10.945836613522497,5.392832716024629,0.0,0.7725685132491324,0.4616178594504236,True,P_mid,S14,saddle
0.9312877614752144,0.7817165618919935,0.6725075885359236,0.5379869718006758,12.76600560535277,18.08392686260033,23.729209580343845,10.963203974991073,5.645282717743517,0.0,0.7620956273899742,0.4620130281993241,True,P_mid,S15,saddle
0.8887327974908679,0.7264313724406809,0.6709727890782293,0.5367597270683376,12.766071149071905,18.833403620352964,23.783586035407964,11.01751488633606,4.950182415054998,0.0,0.7918655997592043,0.4632402729316624,True,P_mid,S16,saddle
0.9319638786150398,0.7819048767381259,0.6726696610898769,0.5381166203883996,12.766005029828571,18.10823811726089,23.723491425732917,10.957486395904336,5.615253308472019,0.0,0.7633040934952284,0.4618833796116001,True,P_mid,S17,saddle
0.9654780209790133,0.7811473414211363,0.6720182174439407,0.5375957863067993,12.766040921147278,18.369248774540214,23.746542004817456,10.98050108367017,5.3772932302772505,0.0,0.773554683069798,0.46240421369320034,True,P_mid,S18,saddle
0.8661421081721884,0.7800273861839621,0.671054224425889,0.5368247753998671,12.766059533719629,18.400120914436584,23.78068248472794,11.014622951008311,5.3805615702913725,0.0,0.7737423400801564,0.46317522460013294,True,P_mid,S19,saddle
