L_q,admitted,candidate_id,continuation_runtime,failure_reason,fraction_R_G_ge_1p1,fraction_R_G_ge_1p2,fraction_R_G_ge_1p5,fraction_R_G_ge_2p0,full_lift_found,job_id,max_log_kappa_R,median_log_kappa_R,metric_samples,min_joint_limit_margin_normalized,min_sigma_min_5,minimum_absolute_joint_margin_rad,p75_log_kappa_R,p90_log_kappa_R,rotation_delta_degrees,strict_kinematics_pass,surface_id,total_runtime,transform_base_from_surface,translation_delta_m,witness_file
111.41778650317158,True,T00,0.0,,0.9541666666666667,0.9166666666666666,0.6708333333333333,0.30833333333333335,True,hemisphere/T00,4.254489993184134,0.9883168476714348,240,0.07457532636030426,0.1717824491669536,0.46855677552179165,1.5497498941563412,2.3637014867513613,"[0, 0, 0]",True,hemisphere,8.721065868623555,"[[0.8374736306843573, -0.5371133787251292, -0.10073299510506323, -0.17477171906652483], [0.5442301923376013, 0.8030367601372951, 0.24278686046895967, 0.4369560874828282], [-0.04951177290845345, -0.25814953082016734, 0.9648354284958597, 0.28135348780203084], [0.0, 0.0, 0.0, 1.0]]","[0, 0, 0]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T00.npz
113.70849548643247,True,T01,15.055788458324969,,0.9708333333333333,0.9208333333333333,0.7458333333333333,0.3375,True,hemisphere/T01,4.559733024903523,1.0838533848107375,240,0.08792451559177616,0.17283733080650296,0.5524297314631297,1.6155432702838215,2.4355672173774843,"[2.1579630284133664, -1.416470212201471, -8.973103486239005]",True,hemisphere,23.717230948619545,"[[0.9127938711732214, -0.3981398626723134, -0.09106041126568754, -0.17132963159951686], [0.40833675528514646, 0.8851183515413531, 0.2232187224403822, 0.46573455542374087], [-0.008273030388139996, -0.24093599464585913, 0.970505746223178, 0.30252693611396775], [0.0, 0.0, 0.0, 1.0]]","[0.0034420874670079565, 0.028778467940912655, 0.02117344831193689]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T01.npz
,False,T02,3.4539941111579537,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T02,,,,,,,,,"[6.207813750693973, -5.888990744365355, -6.26077230315536]",,hemisphere,3.6129380324855447,"[[0.8866896124472953, -0.4236696099567496, -0.18516369184362508, -0.12046774548793746], [0.4523942047466329, 0.8776802984700501, 0.1581669282409745, 0.43445367837346066], [0.09550400352721836, -0.2240119534235162, 0.9698956799747349, 0.22915194239181608], [0.0, 0.0, 0.0, 1.0]]","[0.05430397357858738, -0.002502409109367547, -0.05220154541021476]",
116.69426429063411,True,T03,9.403145173564553,,0.95,0.9,0.7,0.2875,True,hemisphere/T03,4.555018859573076,1.0080585449017674,240,0.0821119218892838,0.14797243938746432,0.5159092052303702,1.5039977301786802,2.229424003900363,"[7.782268448237961, 4.864122536438916, 8.26930631979937]",True,hemisphere,17.393083781935275,"[[0.7493312374456175, -0.6614139653932815, -0.03215995912551714, -0.15918399537432482], [0.6605633264546814, 0.7431948140672519, 0.1063840217639337, 0.44884092713041934], [-0.04646276284666937, -0.10096056025140811, 0.9938048988319468, 0.3216320158492596], [0.0, 0.0, 0.0, 1.0]]","[0.015587723692200017, 0.011884839647591128, 0.04027852804722876]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T03.npz
,False,T04,4.614454405382276,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T04,,,,,,,,,"[9.721113887921902, -1.0189596188717491, -5.201137456498959]",,hemisphere,4.856643316335976,"[[0.8825155548161371, -0.45700911446513237, -0.11094577415729452, -0.11614811201509043], [0.4666954154905801, 0.8801483015032341, 0.08680067120159438, 0.3987103497908591], [0.057980036802684425, -0.12838082667115078, 0.9900286251798941, 0.2755052262788873], [0.0, 0.0, 0.0, 1.0]]","[0.05862360705143441, -0.03824573769196909, -0.005848261523143564]",
111.49091185071299,True,T05,5.9362269397825,,0.9958333333333333,0.9541666666666667,0.7666666666666667,0.3375,True,hemisphere/T05,4.276835722349289,1.1254894257452308,240,0.08229074314302606,0.22686314745933617,0.5170327391676328,1.5785448090969716,2.409218031846626,"[-1.9597085405935013, -1.3160742316070788, -9.282222283153768]",True,hemisphere,10.48311903513968,"[[0.91529163719753, -0.39544170712054033, -0.07659683509034824, -0.22140892905945825], [0.3998197041253513, 0.868900571108261, 0.2918150128435045, 0.4474745502592381], [-0.04884079308714891, -0.29772076480711085, 0.9534028126313072, 0.24416331346616482], [0.0, 0.0, 0.0, 1.0]]","[-0.04663720999293343, 0.010518462776409887, -0.037190174335866015]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T05.npz
112.60335438025697,True,T06,3.967464151792228,,0.9958333333333333,0.9416666666666667,0.825,0.375,True,hemisphere/T06,4.281781625032349,1.1989624734190496,240,0.10945459346715981,0.13955228640327913,0.6877032107541652,1.6878377715552757,2.6713843002479845,"[-6.954779911730034, -3.2065508728492853, 16.760296931849297]",True,hemisphere,8.619060051627457,"[[0.6527485222879609, -0.7154114087373757, -0.24921051923883009, -0.22738027577968722], [0.7545147211873987, 0.5843930233064657, 0.2986508493579597, 0.4710711103766619], [-0.06802133608203766, -0.38297690603890533, 0.9212501219964544, 0.2836817689991708], [0.0, 0.0, 0.0, 1.0]]","[-0.0526085567131624, 0.03411502289383368, 0.0023282811971399447]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T06.npz
,False,T07,9.268788762390614,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T07,,,,,,,,,"[3.9091895537173276, -3.9963032321140872, 17.68114360824964]",,hemisphere,9.536669348366559,"[[0.6308548744331285, -0.7457064118657916, -0.2143456897308839, -0.14753151924850239], [0.774530026926088, 0.6216479349090877, 0.11686352045501788, 0.444523100677673], [0.0461016788613521, -0.23974109436121602, 0.9697416371800538, 0.3327668330205108], [0.0, 0.0, 0.0, 1.0]]","[0.027240199818022434, 0.007567013194844777, 0.05141334521847993]",
98.17035420463773,True,T08,7.879443738609552,,0.9458333333333333,0.7875,0.3625,0.19166666666666668,True,hemisphere/T08,3.6752560804956613,0.5946902825886945,240,0.08759236676080699,0.15026665197954034,0.5698069516114028,1.0157331602675965,2.132756446213756,"[7.911391943405491, 6.629567771103488, 1.6767694760870597]",True,hemisphere,12.589322958141565,"[[0.818530154927952, -0.5743587784973122, 0.010971738089218799, -0.1932778107777791], [0.5700602297685015, 0.8144680884250193, 0.10804197042621137, 0.4807702978184213], [-0.0709909847086675, -0.08218105925558811, 0.9940857878421375, 0.28146202569831974], [0.0, 0.0, 0.0, 1.0]]","[-0.018506091711254273, 0.04381421033559307, 0.0001085378962888961]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T08.npz
,False,T09,1.341228250414133,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T09,,,,,,,,,"[3.9409395676754126, 2.600143415805938, 15.802519533977078]",,hemisphere,1.579253557138145,"[[0.6556867431425721, -0.74811383404311, -0.10198326421724693, -0.16756116959393852], [0.7533776025173478, 0.6393140061212089, 0.15394735984246052, 0.4289125888845471], [-0.04997082040851158, -0.17777315008338326, 0.982801925220505, 0.24688853864135485], [0.0, 0.0, 0.0, 1.0]]","[0.007210549472586328, -0.008043498598281143, -0.03446494916067598]",
,False,T10,1.5917877284809947,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T10,,,,,,,,,"[-5.274615307831039, 3.7188924274955766, 15.841672024770077]",,hemisphere,1.7354669151827693,"[[0.6510790895436244, -0.7480782596595965, -0.12835472949492135, -0.18892365286538107], [0.7433378402694961, 0.5942647211997137, 0.30708027673705685, 0.45873233631881793], [-0.15344339145928065, -0.29534447440589745, 0.9429882115145332, 0.27416317292648296], [0.0, 0.0, 0.0, 1.0]]","[-0.014151933798856244, 0.021776248835989748, -0.007190314875547908]",
,False,T11,1.670009751804173,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T11,,,,,,,,,"[1.3358905105085626, 5.389724286077035, -14.889893975361627]",,hemisphere,1.8151780804619193,"[[0.9425379408298777, -0.3306701959379381, 0.04774360286509037, -0.1692756369303275], [0.3135690194112531, 0.9248622328815967, 0.21518438664255493, 0.4877810704857883], [-0.11531131844549833, -0.18784853395124734, 0.9754056736203291, 0.3097425656468632], [0.0, 0.0, 0.0, 1.0]]","[0.005496082136197344, 0.05082498300296008, 0.028389077844832328]",
108.87513311832271,True,T12,7.716910346411169,,0.9583333333333334,0.8791666666666667,0.6875,0.3,True,hemisphere/T12,4.433263672828774,0.9736326775614335,240,0.07493697005489507,0.13924598185004278,0.5737576826782735,1.538866617745465,2.5351627640918553,"[-3.2022456142622797, -7.6697681373236914, -0.7699188512719282]",True,hemisphere,13.068940517492592,"[[0.8478249581745038, -0.4812972605664383, -0.22258883006036695, -0.18234438154198926], [0.529270037319502, 0.7939014523450507, 0.29932208665621757, 0.4257335207985272], [0.03265069512604344, -0.3715823339929676, 0.9278256846908932, 0.31895848431065005], [0.0, 0.0, 0.0, 1.0]]","[-0.007572662475464426, -0.011222566684300994, 0.03760499650861922]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T12.npz
