E_NUC,E_miss,E_rep,IK_enumeration_time,L_q,NUC_generation_time,continuation_check_time,coverage_evaluation_time,executed_E_NUC,executed_E_miss,executed_E_rep,experiment_config_hash,failure_reason,geometric_refinement_time,geometry_baseline,joint_travel,legacy_coverage_efficiency,legacy_missed_fraction,lift_found,max_axis_error,max_joint_travel,max_position_error,max_visit_count,min_joint_limit_margin,min_mu_bar,min_sigma_min_5,overall_pass,overlap_area_fraction,placement_id,q_sample_count,repository_commit,seed,single_coverage_fraction,skeleton_id,skeleton_policy,strict_coverage_pass,strict_kinematics_pass,surface_id,surface_path_length,total_planner_evaluation_time
0.44476383775521366,0.08356718475340269,0.361196653001811,6.81978003680706,23.5365166114594,0.0017520487308502197,6.953389994800091,0.9032795950770378,0.4444808874534192,0.08356718475340269,0.3609137027000165,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.013797976076602936,False,23.5365166114594,0.5699095657995794,0.08356718475340275,True,2.1790603416204478e-05,10.506549641753367,4.784095085307356e-05,5,0.0819451023393095,31.686128178755066,0.4427346121452326,True,0.17647962207593845,P_easy,3171,78876d52d5313c0e99978700ff3cb7de02e2d0a5,,0.7399531931706588,S00,upstream_first,True,True,saddle,6.0129347067723975,16.727678440511227
0.44278537539492036,0.08844587636910682,0.3543394990258135,6.81978003680706,23.75637437879147,0.0015469864010810852,6.945433184504509,0.8959369659423828,0.44250242509312593,0.08844587636910682,0.3540565487240191,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.011904008686542511,False,23.75637437879147,0.5674005305783593,0.08844587636910684,True,9.021716782078195e-05,11.400822646642247,0.00015425228925496957,5,0.2057842939628842,51.31908341986003,0.617258685658453,True,0.17350929087384032,P_easy,3166,78876d52d5313c0e99978700ff3cb7de02e2d0a5,,0.7380448327570528,S01,reverse_order,True,True,saddle,6.007360362998978,16.5857505351305
0.44815092934592615,0.08846302554324975,0.3596879038026764,6.81978003680706,23.759544278051443,0.0017163082957267761,6.927777603268623,0.8988188877701759,0.44758502874233713,0.08846302554324975,0.3591220031990874,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.011921711266040802,False,23.759544278051443,0.5676083878896847,0.0884630255432498,True,2.2980199566036446e-05,10.870545534251283,4.7840950852600815e-05,5,0.0819451023393095,31.68612817875502,0.44273461214523174,True,0.18030205054813297,P_easy,3164,78876d52d5313c0e99978700ff3cb7de02e2d0a5,20260909,0.7312349239086173,S02,seeded_random,True,True,saddle,6.00504266305448,16.48950818181038
0.4441777910391512,0.08753293083325138,0.35664486020589986,6.81978003680706,23.70062555399722,0.0017147660255432129,6.9469601809978485,0.8972434923052788,0.4438948407373567,0.08753293083325138,0.3563619099041053,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.011977344751358032,False,23.70062555399722,0.5677549401733198,0.08753293083325142,True,2.2386880910594062e-05,10.770405882749778,4.7840950853121076e-05,5,0.0819451023393095,31.6861281787552,0.44273461214523463,True,0.17394158426218165,P_easy,3170,78876d52d5313c0e99978700ff3cb7de02e2d0a5,20260910,0.7385254849045669,S03,seeded_random,True,True,saddle,6.009627896991919,16.497625701129436
0.4413439898272677,0.08893548328550786,0.3524085065417598,6.81978003680706,23.68926102210682,0.0016813650727272034,6.935353338718414,0.8990593999624252,0.4410610395254732,0.08893548328550786,0.35212555623996533,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.012043826282024384,False,23.68926102210682,0.5665139075483334,0.08893548328550793,True,2.2980228553312764e-05,10.765203101293729,4.7840950853204105e-05,5,0.0819451023393095,31.686128178755204,0.4427346121452347,True,0.16710816509029952,P_easy,3175,78876d52d5313c0e99978700ff3cb7de02e2d0a5,20260911,0.7439563516241925,S04,seeded_random,True,True,saddle,6.013543417008745,16.49793253839016
0.4416710204428552,0.08380102758623086,0.35786999285662435,6.81978003680706,23.531482960759668,0.00240151584148407,6.954596482217312,0.8964134380221367,0.4413880701410608,0.08380102758623086,0.3575870425548299,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.01183297485113144,False,23.531482960759668,0.569520225708591,0.08380102758623087,True,2.1790623796044065e-05,10.499722333539502,4.784095085296697e-05,5,0.0819451023393095,31.686128178755233,0.44273461214523446,True,0.17145120087404325,P_easy,3174,78876d52d5313c0e99978700ff3cb7de02e2d0a5,20260912,0.7447477715397258,S05,seeded_random,True,True,saddle,6.015515352966494,16.524167574942112
0.4520436758849927,0.08573732431626278,0.3663063515687299,6.81978003680706,23.703504029485163,0.0017006248235702515,6.8903070241212845,0.8936608657240868,0.45147777528140376,0.08573732431626278,0.36574045096514096,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.011940091848373413,False,23.703504029485163,0.5699545888626302,0.0857373243162628,True,9.021716782078195e-05,11.193472993044875,0.00015425228925496957,5,0.2057842939628842,51.31908341986003,0.6172586856584524,True,0.19298028838879766,P_easy,3153,78876d52d5313c0e99978700ff3cb7de02e2d0a5,20260913,0.7212823872949395,S06,seeded_random,True,True,saddle,5.998191292914567,16.446695245802402
0.44645440620154153,0.08753995060433176,0.35891445559720975,6.81978003680706,23.580475950728815,0.0016921758651733398,6.93985003978014,0.8997596502304077,0.44617145589974705,0.08753995060433176,0.35863150529541526,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.016739584505558014,False,23.580475950728815,0.5673510117087377,0.08753995060433184,True,2.1790628891000985e-05,10.563948886586699,4.7840950853007526e-05,5,0.0819451023393095,31.686128178754792,0.44273461214522947,True,0.17296424747770625,P_easy,3174,78876d52d5313c0e99978700ff3cb7de02e2d0a5,20260914,0.7394958019179619,S07,seeded_random,True,True,saddle,6.013869066314357,16.50626192241907
0.4483912057736571,0.08957137390815015,0.358819831865507,6.81978003680706,23.73873293911666,0.001681216061115265,7.347611919045448,0.8947741314768791,0.44782530517006813,0.08957137390815015,0.35825393126191796,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.011907756328582764,False,23.73873293911666,0.5666811358254993,0.08957137390815029,True,2.2980204397251705e-05,10.853451415376934,4.7840950853034536e-05,5,0.0819451023393095,31.686128178755137,0.4427346121452333,True,0.17774076686615267,P_easy,3168,78876d52d5313c0e99978700ff3cb7de02e2d0a5,20260915,0.7326878592256972,S08,seeded_random,True,True,saddle,6.007560335781724,16.97528352588415
0.4451780536159957,0.08861419792994676,0.356563855686049,6.81978003680706,23.66219015378846,0.0017695352435112,7.226261951029301,0.8973521590232849,0.44489510331420123,0.08861419792994676,0.35628090538425444,800217b19a3f0dc54ab2271b884962ac8fbe2f9fd25158be9aea8f8f6c452726,,0.01187325268983841,False,23.66219015378846,0.5668975323014852,0.08861419792994685,True,2.1790608511166162e-05,10.683042598797467,4.784095085297951e-05,5,0.0819451023393095,31.686128178754966,0.44273461214523135,True,0.17172511828958859,P_easy,3173,78876d52d5313c0e99978700ff3cb7de02e2d0a5,20260916,0.7396606837804646,S09,seeded_random,True,True,saddle,6.011589152629734,16.78742838650942
