dominant_failure_category,median_first_failure_progress,number_failed,placement,strong_search_cases,strong_search_recoveries
transition_graph_empty,0.34674922600619196,20,P_mid,4,2
transition_graph_empty,0.0913312693498452,20,P_hard,4,0
