R_G0,R_q,anchor_id,anisotropy_level,cbar_q_max,cbar_q_min,expensive_direction_wins,failure_count,kappa_R,mean_sign_asymmetry,min_joint_limit_margin,min_sigma_min_5,minimum_absolute_joint_margin_rad,paired_strict_pass,probe_length_requested,relative_paired_length_mismatch,sign_asymmetry_max,sign_asymmetry_min,surface_id
1.6093238289618288,1.725896414624173,A00,P_high,13.4055312476086,7.767286109420278,True,0,2.5899231864643615,0.05149874649421407,0.16248630184690266,0.6764556555872969,1.6403102851890339,True,0.004,1.1782845966284983e-08,0.07343026573034656,0.029567227258081582,hemisphere
1.6093238289618288,1.618199398991953,A00,P_high,13.002216361824852,8.034990230452749,True,0,2.5899231864643615,0.04379542806757419,0.1615489229553229,0.6710343297926029,1.6164049851316291,True,0.008,4.641081572873129e-09,0.060428518978869555,0.027162337156278814,hemisphere
1.8455775423706688,1.5965372320149782,A01,P_high,9.503184291603514,5.9523724853003355,True,0,3.4061564649029576,0.07225931987722806,0.15291989831598096,0.5934534847258076,1.9216495517999768,True,0.004,5.614070406473326e-09,0.1396898970900567,0.004828742664399419,hemisphere
1.8455775423706688,1.681604530281255,A01,P_high,10.00278697602086,5.948358722813296,True,0,3.4061564649029576,0.02242726218065505,0.15235328881662102,0.5903050841433646,1.9145293215194101,True,0.008,9.452492824926773e-09,0.033375910524635656,0.01147861383667444,hemisphere
3.776102433534815,3.4072348147389504,A02,P_high,6.91592013313195,2.029775025547167,True,0,14.258949588547553,0.07364793872158064,0.18086414716740712,0.7071718691222728,2.2639233435438553,True,0.004,1.7234995331946723e-08,0.1472486994196346,4.717802352669356e-05,hemisphere
3.776102433534815,3.5856614019252335,A02,P_high,7.278235621087132,2.029816763283689,True,0,14.258949588547553,0.02038162192993142,0.1802008503343179,0.7031122136262017,2.2487566102393295,True,0.008,1.1039693248102167e-08,0.040459596620418384,0.0003036472394444527,hemisphere
4.108496118058275,3.377418098351224,A03,P_high,8.941572934601568,2.647458109781147,True,0,16.879740352099915,0.0016003885724322972,0.1906103915945035,0.7016672899700389,2.026904140846099,True,0.004,2.223165575243602e-08,0.0015172413633105764,0.001683535781554018,hemisphere
4.108496118058275,3.3750638030704776,A03,P_high,8.934746858828518,2.647282356766144,True,0,16.879740352099915,0.00427662334677897,0.19003565257674374,0.6983926643323798,2.007036562869792,True,0.008,1.7098434213630442e-09,0.005539392527752194,0.0030138541658057466,hemisphere
3.7378105591634236,2.6342289748149157,A04,P_high,9.082198496120162,3.4477634947274423,True,0,13.971227776193585,0.002704870251623656,0.19679576890638453,0.668442412697644,1.8362065586822576,True,0.004,1.685764245210053e-08,0.005284828855657444,0.0001249116475898685,hemisphere
3.7378105591634236,2.548085209921749,A04,P_high,9.073752554808681,3.5610082894705606,True,0,13.971227776193585,0.033732017952255916,0.19617396175330024,0.6606848781447165,1.817617751902001,True,0.008,1.0397247949753274e-08,0.007195221127762391,0.060268814776749446,hemisphere
1.8029761389050545,1.8571060576088227,A05,P_high,12.598880660273972,6.784147092006188,True,0,3.2507229574609786,0.04836102364485231,0.20150272509225664,0.5787783182127126,1.6431550421333727,True,0.004,6.31160705297229e-09,0.026738695452155452,0.06998335183754918,hemisphere
1.8029761389050545,1.7259717057255461,A05,P_high,12.594965669562766,7.297318738066002,True,0,3.2507229574609786,0.04029014735948061,0.2009480027032566,0.5714284468872236,1.621325666413994,True,0.008,7.599341945649374e-09,0.051711228576656366,0.02886906614230486,hemisphere
1.8632927128995083,1.6931012366742426,A06,P_high,12.238505429384753,7.22845460406422,True,0,3.471859733944409,0.00844732261286247,0.19690732803139468,0.6090586261485529,1.6135280748789418,True,0.004,5.725226499483926e-09,0.01433757201782497,0.002557073207899969,hemisphere
1.8632927128995083,1.7061738406645484,A06,P_high,12.297110310040043,7.207419324428491,True,0,3.471859733944409,0.014297286764440996,0.1962281167947623,0.6034032198377461,1.5900751163997349,True,0.008,9.438710013229268e-09,0.019571328665329228,0.009023244863552764,hemisphere
1.875804450199722,1.7559032716669407,A07,P_high,12.376322559604024,7.048407938698551,True,0,3.518642335389081,0.04042132700121537,0.19156555640603165,0.6447313468130812,1.5858107911055952,True,0.004,2.3630592057774513e-08,0.04934121310753975,0.03150144089489099,hemisphere
1.875804450199722,1.7035037342865575,A07,P_high,11.824255289226617,6.941138461418589,True,0,3.518642335389081,0.0427185203434775,0.1907663616705857,0.6395044952470083,1.5629474276336068,True,0.008,5.992507922172874e-09,0.0435358694998,0.041901171187155,hemisphere
1.6136559810701512,1.6375832896243454,A08,P_high,13.783099570721848,8.416731935438614,True,0,2.603885625243472,0.034401050440937705,0.19576251856680646,0.5901330528958061,1.258884024643674,True,0.004,1.1333818215539249e-08,0.06146512220947289,0.0073369786724025235,hemisphere
1.6136559810701512,1.6474302634439213,A08,P_high,13.77397875681472,8.360887293657264,True,0,2.603885625243472,0.03794312121457692,0.1948756422152276,0.5796340612529335,1.2375759320605981,True,0.008,1.0394223459372909e-08,0.06132008875240231,0.014566153676751528,hemisphere
1.2392768036185735,1.2781149801861047,A09,P_high,11.99261714731909,9.383050299256222,True,0,1.5358069959870684,0.09615070461210146,0.17415915735842435,0.6143023068687767,1.0942419856829804,True,0.004,2.275639160616294e-08,0.07492058906076506,0.11738082016343784,hemisphere
1.2392768036185735,1.3377622401841502,A09,P_high,12.77736764281307,9.55129937069699,True,0,1.5358069959870684,0.02249853890784554,0.17102088439306778,0.6027242000169944,1.0745242166416449,True,0.008,1.1267265549383398e-08,0.04482904998896391,0.00016802782672717246,hemisphere
1.4690214408413615,1.4619581726236077,A10,P_high,14.679619957609795,10.041066996647363,True,0,2.15802399365163,0.027480744611821057,0.10276397243731927,0.5355061764504024,0.645666038823677,True,0.004,1.4279225588401112e-08,0.05297303272011251,0.001988456503529608,hemisphere
1.4690214408413615,1.436760536816303,A10,P_high,14.42278398100013,10.038404877794994,True,0,2.15802399365163,0.01268619552950759,0.10173064790364586,0.5241156862026937,0.6391736607786069,True,0.008,7.360187763080783e-09,0.012636987170992226,0.012735403888022953,hemisphere
1.1253848807368205,1.0404044027748631,A11,P_high,13.081498706040211,12.573474959497037,True,0,1.2664911297910277,0.07022607112148697,0.12044222485546785,0.5898627123823793,0.7567384987669046,True,0.004,1.6934511085087145e-08,0.13901784783469615,0.0014342944082777896,hemisphere
1.1253848807368205,1.0456238440668058,A11,P_high,13.13974297447632,12.56641482406441,True,0,1.2664911297910277,0.03106681728840884,0.11877004916120416,0.5854130025911233,0.7462322188798458,True,0.008,0.0002606595080820173,0.05986345702120157,0.002270177555616107,hemisphere
1.6360931696941505,1.698743111056122,A12,P_high,14.59462779830293,8.591427216578577,True,0,2.6768008599198523,0.03913536395954302,0.15137829807475348,0.5697248336884453,1.1840551781692688,True,0.004,5.188776491804603e-09,0.073356765901346,0.004913962017740036,hemisphere
