R_G0,R_q,anchor_id,anisotropy_level,expensive_direction_wins,maximum_relative_paired_length_mismatch,mean_sign_asymmetry,min_sigma_min_5,minimum_absolute_joint_margin_rad,surface_id,valid_probe_lengths
1.6093238289618288,1.6711805829613995,A00,P_high,True,1.1782845966284983e-08,0.04764708728089413,0.6710343297926029,1.6164049851316291,hemisphere,2
1.8455775423706688,1.6385189172295456,A01,P_high,True,9.452492824926773e-09,0.04734329102894155,0.5903050841433646,1.9145293215194101,hemisphere,2
3.776102433534815,3.4953097663161885,A02,P_high,True,1.7234995331946723e-08,0.047014780325756025,0.7031122136262017,2.2487566102393295,hemisphere,2
4.108496118058275,3.3762407455008807,A03,P_high,True,2.223165575243602e-08,0.0029385059596056338,0.6983926643323798,2.007036562869792,hemisphere,2
3.7378105591634236,2.5907990833473016,A04,P_high,True,1.685764245210053e-08,0.018218444101939787,0.6606848781447165,1.817617751902001,hemisphere,2
1.8029761389050545,1.7903386578980927,A05,P_high,True,7.599341945649374e-09,0.04432558550216646,0.5714284468872236,1.621325666413994,hemisphere,2
1.8632927128995083,1.6996249702832646,A06,P_high,True,9.438710013229268e-09,0.011372304688651733,0.6034032198377461,1.5900751163997349,hemisphere,2
1.875804450199722,1.7295050680268667,A07,P_high,True,2.3630592057774513e-08,0.04156992367234644,0.6395044952470083,1.5629474276336068,hemisphere,2
1.6136559810701512,1.64249939733237,A08,P_high,True,1.1333818215539249e-08,0.036172085827757314,0.5796340612529335,1.2375759320605981,hemisphere,2
1.2392768036185735,1.307598546613862,A09,P_high,True,2.275639160616294e-08,0.059324621759973495,0.6027242000169944,1.0745242166416449,hemisphere,2
1.4690214408413615,1.4493045949356802,A10,P_high,True,1.4279225588401112e-08,0.020083470070664324,0.5241156862026937,0.6391736607786069,hemisphere,2
1.1253848807368205,1.0430108585309559,A11,P_high,True,0.0002606595080820173,0.050646444204947905,0.5854130025911233,0.7462322188798458,hemisphere,2
1.6360931696941505,1.701933150849128,A12,P_high,True,5.188776491804603e-09,0.04365998889470106,0.5579005505149086,1.163199985987847,hemisphere,2
1.9711144922199293,1.8944388354934831,A13,P_high,True,1.2034070788480289e-08,0.038432253557296084,0.580833049061103,1.4509531262124709,hemisphere,2
1.5777279946282734,1.506059874657837,A14,P_high,True,1.152180803022651e-08,0.06113808105434469,0.6670687042605141,1.568085046464957,hemisphere,2
1.1407863057952234,1.1453044032109923,A00,P_low,True,1.3386047695643222e-08,0.019082914225766988,1.0232390501147095,1.52741282146616,hemisphere,2
1.2193021560507216,0.9902537083896187,A01,P_low,False,9.004919206134776e-09,0.035443666660362735,1.0655070669136626,2.1543202367179077,hemisphere,2
2.605606416017279,2.2954693054181883,A02,P_low,True,7.440710374229109e-09,0.02113212120652242,1.058688281009014,1.956181491255797,hemisphere,2
2.3206120747634227,1.885907699957968,A03,P_low,True,1.8256505682212598e-08,0.0044947041585276515,1.0086637621313634,1.7089891552613177,hemisphere,2
2.02425879815516,1.4028856488839927,A04,P_low,True,2.4758168605532038e-08,0.012865139641074282,0.8867620510410992,1.522301387947622,hemisphere,2
1.2387041251694413,1.01463471484241,A05,P_low,True,7.582942303588358e-09,0.05574770844812344,0.7084551468224978,1.3219218945339015,hemisphere,2
1.2189643381911346,0.8054960277703805,A06,P_low,False,1.0144829637806496e-08,0.018913469447511638,0.8041910547232851,1.3192461305415402,hemisphere,2
1.1735964993548795,1.0219505197930618,A07,P_low,True,8.841641611564977e-09,0.07754078303856826,0.8976044205655475,1.3235702491990717,hemisphere,2
1.2986463435734836,1.2452431190487165,A08,P_low,True,6.050580175775977e-09,0.0755493238832459,0.7511114042074193,1.0173093518743657,hemisphere,2
