L_G_integrated,L_q_actual,L_q_per_surface_length,R_G0,anchor_id,anisotropy_level,continuation_runtime,eigen_direction,failure_reason,kappa_R,lift_found,max_axis_error,max_position_error,min_joint_limit_margin,min_sigma_min_5,minimum_absolute_joint_margin_rad,probe_length_requested,relative_length_error,shared_q_hash,sign,sqrt_lambda_initial,strict_kinematics_pass,surface_id,surface_length_actual,witness_index
0.010394854512609228,0.01224877449352231,3.062193623399527,1.571744482410761,A00,P_low,0.3164363382384181,min,,2.4703807179886708,True,0.0013730186416609867,0.0009995677005782575,0.09289287851611577,0.7005216708322014,1.167327210727347,0.004,6.188192319678265e-12,75de4618234a61207128798d0e85fce43d4d0b766ecccb12b88225cfd39842c5,-1,2.5999680741862505,True,saddle,0.003999999999975247,22
0.010399937595417626,0.010645596725139305,2.661399181368785,1.571744482410761,A00,P_low,0.30702114943414927,min,,2.4703807179886708,True,0.0013728358541953705,0.000999925254257956,0.09307818210340495,0.7008313186759567,1.169655806020586,0.004,3.154703061281072e-11,75de4618234a61207128798d0e85fce43d4d0b766ecccb12b88225cfd39842c5,1,2.5999680741862505,True,saddle,0.003999999999873812,22
0.016306750623946733,0.01377311326412251,3.4432783163856713,1.571744482410761,A00,P_low,0.30579430516809225,max,,2.4703807179886708,True,0.002774834025307939,0.000999957050415433,0.09227483283803374,0.6998854081000792,1.1595606138792105,0.004,1.0311218025249591e-10,75de4618234a61207128798d0e85fce43d4d0b766ecccb12b88225cfd39842c5,-1,4.086485475046371,True,saddle,0.003999999999587551,22
0.016361077381415436,0.015297590338910916,3.8243975859513037,1.571744482410761,A00,P_low,0.3027659235522151,max,,2.4703807179886708,True,0.002786400999670263,0.0009993571023561654,0.09307818210340495,0.7008313186759567,1.169655806020586,0.004,3.19939170642658e-10,75de4618234a61207128798d0e85fce43d4d0b766ecccb12b88225cfd39842c5,1,4.086485475046371,True,saddle,0.003999999998720243,22
0.020854509544388982,0.024464682086178823,3.058085261618306,1.571744482410761,A00,P_low,0.3510373719036579,min,,2.4703807179886708,True,0.0013730186416609867,0.0009996174287992068,0.09271476476766609,0.7001909157207742,1.1650889656811039,0.008,2.7662832961794503e-10,75de4618234a61207128798d0e85fce43d4d0b766ecccb12b88225cfd39842c5,-1,2.5999680741862505,True,saddle,0.007999999997786974,22
0.02080824235791636,0.026257933548995603,3.2822416938284698,1.571744482410761,A00,P_low,0.35359422769397497,min,,2.4703807179886708,True,0.0013734863184813291,0.0009999477721119644,0.09307818210340495,0.7008313186759567,1.169655806020586,0.008,6.215861159120095e-11,75de4618234a61207128798d0e85fce43d4d0b766ecccb12b88225cfd39842c5,1,2.5999680741862505,True,saddle,0.007999999999502731,22
0.030789491995207946,0.030986757160058727,3.87334464559787,1.571744482410761,A00,P_low,0.3640938503667712,max,,2.4703807179886708,True,0.002774834025307939,0.000999957050415433,0.09154595838315359,0.6986994721631744,1.1504013005068936,0.008,1.5245985897360814e-10,75de4618234a61207128798d0e85fce43d4d0b766ecccb12b88225cfd39842c5,-1,4.086485475046371,True,saddle,0.007999999998780321,22
0.03274983919241609,0.03117284908289372,3.89660613536841,1.571744482410761,A00,P_low,0.35824416670948267,max,,2.4703807179886708,True,0.002786400999670263,0.0009995771755677407,0.09307818210340495,0.7008313186759567,1.169655806020586,0.008,1.7182436029550274e-12,75de4618234a61207128798d0e85fce43d4d0b766ecccb12b88225cfd39842c5,1,4.086485475046371,True,saddle,0.007999999999986254,22
0.010683936764541936,0.010932399122779601,2.733099844187746,1.3751110544873328,A01,P_low,0.30858933739364147,min,,1.8909304121732642,True,0.000858291162818479,0.0009952607402937263,0.10470571185895881,0.8187063649107394,1.2479396980748407,0.004,2.323107439923533e-08,aee1d96e0d3ca4846654e0a5d4f512bafc45c1d01f40fa71ccf7fec8fda9cf21,-1,2.667946885451892,True,saddle,0.0039999999070757025,233
0.010656824993993072,0.011741703414597942,2.9354259147731248,1.3751110544873328,A01,P_low,0.31050629168748856,min,,1.8909304121732642,True,0.0008564482938273323,0.000999718740187504,0.10486880101098503,0.8177463643433742,1.2470382355598402,0.004,2.0822749774440652e-08,aee1d96e0d3ca4846654e0a5d4f512bafc45c1d01f40fa71ccf7fec8fda9cf21,1,2.667946885451892,True,saddle,0.003999999916709001,233
