surface_id,level,median_log_kappa_R
saddle,P_low,0.569837085743434
saddle,P_mid,1.2189204595016774
saddle,P_high,1.5731051967610639
hemisphere,P_low,0.5744428132214499
hemisphere,P_mid,1.0475606316411947
hemisphere,P_high,1.2122541804370863
