E_NUC,L_G,L_q,L_q_over_L_G,archive_abs_error,local_pearson,local_spearman,overall_pass,placement_id,skeleton_id,surface_id
0.44476383775521366,21.664010893432668,23.5365166114594,1.0864339353981018,0.0,0.9859164831718378,0.9725632566850788,True,P_easy,S00,saddle
0.44278537539492036,21.998724154306338,23.75637437879147,1.0798978255355351,0.0,0.9490679023391468,0.9335948240475722,True,P_easy,S01,saddle
0.44815092934592615,21.869912021001614,23.759544278051443,1.0864032857212786,0.0,0.9860949205650379,0.9753457150650283,True,P_easy,S02,saddle
0.4441777910391512,21.814190765997893,23.70062555399722,1.0864774131772856,0.0,0.9861634152393236,0.9764554238919964,True,P_easy,S03,saddle
0.4413439898272677,21.79956998777739,23.68926102210682,1.086684784855341,0.0,0.9861286083727089,0.9772797358583208,True,P_easy,S04,saddle
0.4416710204428552,21.6598265968653,23.531482960759668,1.086411419570886,0.0,0.986127421701239,0.9719161794372079,True,P_easy,S05,saddle
0.4520436758849927,21.957089534581087,23.703504029485163,1.0795376132229901,0.0,0.9477447071614266,0.9338938146738605,True,P_easy,S06,saddle
0.44645440620154153,21.702999584366545,23.580475950728815,1.0865076902878754,0.0,0.9863857630135306,0.9727032156089874,True,P_easy,S07,saddle
0.4483912057736571,21.85090085094913,23.73873293911666,1.0863960758892706,0.0,0.9859246369542926,0.9747452433365138,True,P_easy,S08,saddle
0.4451780536159957,21.773890463055096,23.66219015378846,1.0867231188628115,0.0,0.9866156547226379,0.9751072417139582,True,P_easy,S09,saddle
0.4412199306917917,21.70924437940354,23.588544792531305,1.0865668274898934,0.0,0.9864364735815964,0.9758427817761358,True,P_easy,S10,saddle
0.4414699931653151,21.701779721304963,23.581529152782686,1.086617293863339,0.0,0.9864140594633865,0.9744917293492055,True,P_easy,S11,saddle
0.44647273356874406,21.78823988517976,23.674312463260584,1.0865637879893053,0.0,0.9862701590094098,0.9753172345512976,True,P_easy,S12,saddle
0.4475181320334628,21.720842503813763,23.59528534672483,1.0862969676513214,0.0,0.9861217357167337,0.9739230554858107,True,P_easy,S13,saddle
0.44551932977489483,21.853935235829482,23.73970709118378,1.0862898070761453,0.0,0.9858010693547858,0.9759764898418543,True,P_easy,S14,saddle
