axis_tolerance_degrees,catalog_raw_candidates_total,catalog_safe_candidates_total,catalog_wall_time,continuation_time,evaluated_transitions,failure_pose_index,failure_progress,lift_found,max_active_branches,max_candidates,orientation_cone_samples,placement_id,provisional_failure_category,q_interpolation_step_rad,random_restarts,sigma_safe,skeleton_id,stage,strict_kinematics_pass,task_edge_samples,wall_time
10.0,7703,7650,84.32927810400724,15.925797052681446,1151,164,0.5077399380804953,False,24,24,15,P_mid,transition_graph_empty,0.05,32,0.07237417172157597,S08,strong,,15,16.368495389819145
10.0,7703,7650,84.32927810400724,14.809124529361725,1151,164,0.5077399380804953,False,24,24,15,P_mid,transition_graph_empty,0.05,32,0.07237417172157597,S15,strong,,15,15.054494820535183
10.0,7703,7650,84.32927810400724,36.0623364597559,2484,,1.0,True,24,24,15,P_mid,,0.05,32,0.07237417172157597,S17,strong,True,15,36.832046657800674
10.0,7703,7650,84.32927810400724,22.731884367763996,1514,,1.0,True,24,24,15,P_mid,,0.05,32,0.07237417172157597,S19,strong,True,15,23.13050190359354
10.0,6854,6770,97.33086233586073,3.8757720813155174,258,28,0.08668730650154799,False,24,24,15,P_hard,transition_graph_empty,0.05,32,0.07237417172157597,S13,strong,,15,3.961264632642269
10.0,6854,6770,97.33086233586073,2.522568993270397,177,16,0.04953560371517028,False,24,24,15,P_hard,transition_graph_empty,0.05,32,0.07237417172157597,S15,strong,,15,2.5527253597974777
10.0,6854,6770,97.33086233586073,5.538988068699837,375,61,0.18885448916408668,False,24,24,15,P_hard,transition_graph_empty,0.05,32,0.07237417172157597,S16,strong,,15,5.6611472889781
10.0,6854,6770,97.33086233586073,1.7733674570918083,138,15,0.04643962848297214,False,24,24,15,P_hard,transition_graph_empty,0.05,32,0.07237417172157597,S17,strong,,15,1.810472957789898
