directed_transition_jaccard,geometric_path_distance,normalized_sequence_distance,skeleton_a,skeleton_b,surface_id,tangent_disagreement,tree_edge_jaccard,undirected_transition_jaccard
0.36507936507936506,0.06844834243105258,0.75,S00,S01,saddle,1.1505011952503996,0.4791666666666667,0.36507936507936506
0.47766323024054985,0.06711525797472924,0.6712962962962963,S00,S02,saddle,1.13847517574422,0.5777777777777777,0.47766323024054985
0.519434628975265,0.05616588951390766,0.5601851851851852,S00,S03,saddle,1.0064498293049877,0.6136363636363636,0.519434628975265
0.4576271186440678,0.06399829703634397,0.6759259259259259,S00,S04,saddle,1.0495571885691766,0.5604395604395604,0.4576271186440678
0.9282511210762332,0.005905271547841647,0.08333333333333333,S00,S05,saddle,0.21731478121117306,0.9452054794520548,0.9282511210762332
0.5636363636363636,0.050394643403913746,0.4861111111111111,S00,S06,saddle,0.9300080621885913,0.6511627906976745,0.5636363636363636
0.7695473251028807,0.03282210185101653,0.3333333333333333,S00,S07,saddle,0.6943528291329101,0.8205128205128205,0.7695473251028807
0.47766323024054985,0.06836286480535976,0.7175925925925926,S00,S08,saddle,1.1095726909022239,0.5777777777777777,0.47766323024054985
0.5636363636363636,0.041043322242095434,0.5462962962962963,S00,S09,saddle,0.8287142149112684,0.6511627906976745,0.5636363636363636
0.6862745098039216,0.024986148671284823,0.3287037037037037,S00,S10,saddle,0.668402080525207,0.7530864197530864,0.6862745098039216
0.6862745098039216,0.030595332308109912,0.36574074074074076,S00,S11,saddle,0.7197884370808468,0.7530864197530864,0.6862745098039216
0.5636363636363636,0.0580222453765131,0.5555555555555556,S00,S12,saddle,1.0366160992149438,0.6511627906976745,0.5636363636363636
0.799163179916318,0.026424774605135128,0.2777777777777778,S00,S13,saddle,0.6095835871710631,0.8441558441558441,0.799163179916318
0.47766323024054985,0.06716924823286813,0.6712962962962963,S00,S14,saddle,1.1294173658823512,0.5777777777777777,0.47766323024054985
0.6602316602316602,0.044787507322695395,0.41203703703703703,S00,S15,saddle,0.8587776132133819,0.7317073170731707,0.6602316602316602
0.519434628975265,0.05630568751124766,0.5740740740740741,S00,S16,saddle,0.939386030156962,0.6136363636363636,0.519434628975265
0.6104868913857678,0.05564595911871978,0.5231481481481481,S00,S17,saddle,1.0151265259517448,0.6904761904761905,0.6104868913857678
0.6104868913857678,0.049540816447317254,0.46296296296296297,S00,S18,saddle,0.9338495490430203,0.6904761904761905,0.6104868913857678
0.7408906882591093,0.04266644592204015,0.3425925925925926,S00,S19,saddle,0.7855979344832764,0.7974683544303798,0.7408906882591093
0.799163179916318,0.017451853775498072,0.22685185185185186,S01,S02,saddle,0.5016334296757704,0.8441558441558441,0.799163179916318
0.7408906882591093,0.03396318659235183,0.3333333333333333,S01,S03,saddle,0.758046241405082,0.7974683544303798,0.7408906882591093
0.8297872340425532,0.014593173956643968,0.18055555555555555,S01,S04,saddle,0.4520443885013315,0.868421052631579,0.8297872340425532
0.4006514657980456,0.06835541210511643,0.7314814814814815,S01,S05,saddle,1.0867505827281065,0.5106382978723404,0.4006514657980456
0.6862745098039216,0.02378957098254927,0.3055555555555556,S01,S06,saddle,0.6423298695407339,0.7530864197530864,0.6862745098039216
